hypothesis,outcome,n,mean_delta,sd,ci95_low,ci95_high,positive_pct
H1,unemployment_rate,100,0.0,0.0,0.0,0.0,0.0
H1,housing_price_index,100,-5.9298,0.1567,-5.9605,-5.8991,0.0
H1,gdp,100,0.7625,0.9801,0.5704,0.9546,0.79
H2,poverty_rate,100,-0.003448,0.01105,-0.005613,-0.001283,0.0
H2,avg_happiness,100,0.00059,0.00083,0.000427,0.000753,0.55
H2,gdp,100,1.1286,1.5814,0.8187,1.4385,0.79
H3,unemployment_rate,100,-0.000385,0.00385,-0.00114,0.00037,0.0
H3,gini_estimate,100,0.00059,0.01331,-0.002018,0.003198,0.28
H3,productivity_index,100,0.0485,0.2824,-0.006842,0.103842,0.19
H4,stock_market_index,100,-11.5005,7.9028,-13.0494,-9.9516,0.01
H4,avg_wealth,100,1.4982,1.8804,1.1296,1.8668,0.78
H4,government_debt,100,0.0,0.0,0.0,0.0,0.0
H5,productivity_index,100,0.0,0.0,0.0,0.0,0.0
H5,gdp,100,9.3593,1.5471,9.0561,9.6625,1.0
H5,unemployment_rate,100,0.0,0.0,0.0,0.0,0.0
